taxon,gi,ena,description
12901,326369395,JF446924.1,"Columnea latent viroid isolate LP2-7c1, complete genome
"
12893,529159593,KC878440.1,"Hop stunt viroid isolate L8-18, complete genome
"
758918,295410283,HM107846.1,"Rubber viroid India/2009 isolate KER4, complete genome
"
190810,608601843,KF007272.1,"Australian grapevine viroid isolate 6089_AGVd_Crim, complete genome
"
574040,333496621,JF742640.1,"Pepper chat fruit viroid clone Supattha 11, complete genome
"
574040,325003793,HQ731652.1,"Pepper chat fruit viroid isolate 3264951, complete genome
"
697192,166788513,AB366016.1,"Citrus viroid VI genomic RNA, complete genome, clone: Kaki13-2
"
46342,675153762,KJ489023.1,"Grapevine yellow speckle viroid 2 isolate GY2-RG-2.3, complete genome
"
79450,614706764,KF683198.1,"Mexican papita viroid isolate MX, complete genome
"
53193,1771091,X95734.1,"Iresine viroid, IrVd RNA (isolated from Iresine herbstii)
"
12902,59015,X07405.1,"Cucumber pale fruit viroid (CPFV) RNA
"
12892,311102992,HQ452407.1,"Potato spindle tuber viroid isolate ce2bc, complete genome
"
12892,343403737,AB623143.1,"Potato spindle tuber viroid genomic RNA, complete genome, strain: dahlia isolate
"
12889,323414,M20731.1,"Coconut tinanangaja viroid RNA, complete genome
"
12893,406668622,JX401927.1,"Hop stunt viroid isolate 599, complete genome
"
12903,325405,M35717.1,"Grapevine viroid grapevine isolate (SHV-g(GV)) complete genome
"
12893,459463392,KC290929.1,"Hop stunt viroid strain HBO-D, complete genome
"
459949,385276390,JQ348932.1,"Citrus viroid V isolate JK1, complete genome
"
28266,296720,X71599.1,"Dapple Apple Viroid complete nucleotide sequence
"
12892,662357436,KF418774.1,"Potato spindle tuber viroid clone PSTVd_68, complete genome
"
12901,582002522,HG916813.1,"Columnea latent viroid, isolate CLVd-IT, complete genome
"
72705,3273626,AF040721.1,"Citrus viroid Ia clone 17, complete genome
"
192025,399219969,AB740017.1,"Coleus blumei viroid 1 RNA, complete genome, isolate: Ind-1
"
12890,660049108,KJ810543.1,"Citrus exocortis viroid clone BO-D2E, complete genome
"
190810,584459729,KF876036.1,"Australian grapevine viroid isolate shahreza, complete genome
"
12892,339272013,FR851463.1,"Potato spindle tuber viroid, isolate Cen-1, complete genome, genomic RNA
"
12783,2340822,D12823.1,"Pear blister canker viroid PBCVd genomic RNA, complete genome
"
12892,614706808,KF683199.1,"Potato spindle tuber viroid isolate NY, complete genome
"
12897,2274918,AJ000046.1,"Chrysanthemum stunt viroid RNA, complete genome
"
12893,746718030,KJ466328.1,"Hop stunt viroid isolate E65-HSVd, complete genome
"
12904,778539622,KP993474.1,"Grapevine yellow speckle viroid 1 isolate Cabernet Sauvignon, complete genome
"
551523,347545634,JF812069.1,"Citrus dwarfing viroid isolate LS-4, complete genome
"
68402,2654325,Y14700.1,"Chrysanthemum chlorotic mottle viroid
"
190810,421954797,JQ686701.1,"Australian grapevine viroid isolate AGVd-Bm10#2, complete genome
"
12890,311103002,HQ452417.1,"Citrus exocortis viroid isolate ca6, complete genome
"
12893,346722621,JF742601.1,"Hop stunt viroid clone Jx-C1-1, complete genome
"
12904,59396,Z17225.1,"grapevine yellow speckle viroid 1 sequence variant type 2
"
12893,328925435,HQ447057.1,"Hop stunt viroid isolate 09-2009-2140hs, complete genome
"
574040,432141101,KC143301.1,"Pepper chat fruit viroid clone Pinit-2, complete genome
"
12894,81158292,DQ222098.1,"Peach latent mosaic viroid isolate PC-C40.101, complete genome
"
12893,608601871,KF007325.1,"Hop stunt viroid isolate 7139_HSVd_Sy, complete genome
"
100785,614706843,KF683201.1,"Tomato chlorotic dwarf viroid isolate DR13-04, complete genome
"
12893,332498119,JF323861.1,"Hop stunt viroid isolate HSVd-gb, complete genome
"
12901,384383630,JQ362419.1,"Columnea latent viroid clone 1-6, complete genome
"
12892,392494485,JQ889839.1,"Potato spindle tuber viroid strain Armenia-83, complete genome
"
46342,751247552,KP010023.1,"Grapevine yellow speckle viroid 2 clone Prapatsorn 19, complete genome
"
12893,388564571,JQ706343.1,"Hop stunt viroid isolate DP2 dapple, complete genome
"
12904,332903339,JF746171.1,"Grapevine yellow speckle viroid 1 clone 2, complete genome
"
192025,469761713,KC581915.1,"Coleus blumei viroid 1 isolate BJ-1-1, complete genome
"
12897,341870818,HQ891019.1,"Chrysanthemum stunt viroid isolate H5-2, complete genome
"
12893,407830414,JX430799.1,"Hop stunt viroid isolate HL3, complete genome
"
12893,584459562,KF916039.1,"Hop stunt viroid clone IUT 21, complete genome
"
651134,469761714,KC581916.1,"Coleus blumei viroid 6 isolate BJ-6-1, complete genome
"
598747,223585722,FJ151370.1,"Coleus blumei viroid 5 clone 1, complete genome
"
12904,421954804,JQ686708.1,"Grapevine yellow speckle viroid 1 isolate Amh1#11, complete genome
"
100785,5712759,AF162131.1,"Tomato chlorotic dwarf viroid, complete genome
"
12895,409974396,JX861259.1,"Apple scar skin viroid clone ASSVd-Z7, complete genome
"
457005,161019085,AM774357.1,"Citrus exocortis viroid Sj 2 complete genome, genomic RNA
"
36453,344310975,HQ608513.1,"Coconut cadang-cadang viroid isolate GOS Palm, complete genome
"
529840,209393039,EU547491.1,"Mulberry small circular viroid-like RNA 1, complete genome
"
12904,751247534,KP010005.1,"Grapevine yellow speckle viroid 1 clone Boonmang-1, complete genome
"
12906,421952643,JQ080280.1,"Citrus bent leaf viroid isolate CBLVd-2, complete genome
"
12893,421952635,JQ080272.1,"Hop stunt viroid, complete genome
"
12894,308523802,HQ342884.1,"Peach latent mosaic viroid isolate AY09PG6 clone P6, complete genome
"
36453,323277,J02051.1,"Cadang-cadang coconut viroid, RNA 1 slow, complete genome
"
12893,328480334,HQ386725.1,"Hop stunt viroid clone 11R-HSVd, complete genome
"
12906,672941198,KM214207.1,"Citrus bent leaf viroid isolate lot2-2/1-5, complete genome
"
12904,608601856,KF007310.1,"Grapevine yellow speckle viroid 1 isolate 6356_YS1_Sy, complete genome
"
12893,693268070,KM052624.1,"Hop stunt viroid isolate HSVd-apricot-v6, complete genome
"
12890,683687795,KJ956802.1,"Citrus exocortis viroid isolate 2 from kumquat, complete genome
"
12893,514054444,KC771553.1,"Hop stunt viroid isolate pis60-ohadi, complete genome
"
12894,374256251,JN680784.1,"Peach latent mosaic viroid isolate PLMVd-Otago 1, complete genome
"
551523,334305549,JF521494.1,"Citrus dwarfing viroid, complete genome
"
574040,648093397,KJ635807.1,"Pepper chat fruit viroid isolate NP6-10c2, complete genome
"
68402,341870815,HQ891016.1,"Chrysanthemum chlorotic mottle viroid isolate H5-2, complete genome
"
368620,86141653,DQ357615.1,"Cherry small circular viroid-like RNA 1 isolate cscRNA1.84, complete genome
"
12893,404436055,JX237456.1,"Hop stunt viroid isolate Cache100-6, complete genome
"
12893,1684690,Y09345.1,"Hop stunt viroid RNA, complete genome, clone B1B
"
195056,2766241,AF039909.1,"RYMV small circular viroid-like RNA hammerhead ribozyme
"
12893,703556686,KM278991.1,"Hop stunt viroid isolate HSVd_kfp, complete genome
"
12895,58651,X17696.1,"Apple scar skin viroid complete genome
"
12897,363987129,AB689031.1,"Chrysanthemum stunt viroid genomic RNA, complete genome, isolate: P4-16
"
551523,346722622,JF742602.1,"Citrus dwarfing viroid clone Hb-C1-2, complete genome
"
12893,444242751,KC137256.1,"Hop stunt viroid clone RP8-2.2.2, complete genome
"
12901,432141093,KC143293.1,"Columnea latent viroid clone Prayong-13, complete genome
"
12892,519282933,KC810006.1,"Potato spindle tuber viroid isolate diascia2, complete genome
"
100785,669687857,KJ817885.1,"Tomato chlorotic dwarf viroid isolate PP4-13, complete genome
"
12893,683687837,KJ956805.1,"Hop stunt viroid from lemon, complete genome
"
12901,333496617,JF742636.1,"Columnea latent viroid clone Rutgers 9, complete genome
"
53193,385045962,JQ889689.1,"Iresine viroid 1 isolate 501-Slo, complete genome
"
457004,161019084,AM774356.1,"Citrus exocortis viroid Sj 1 complete genome, genomic RNA
"
12904,542191170,KF137563.1,"Grapevine yellow speckle viroid 1 isolate OR1b, complete genome
"
12892,545289853,KF493732.1,"Potato spindle tuber viroid isolate DCP_1124_2013, complete genome
"
12783,307075247,HM233937.1,"Pear blister canker viroid isolate PB-TT31, complete genome
"
12892,735004138,KM588065.1,"Potato spindle tuber viroid isolate Fujian, complete genome
"
12897,443498626,KC345440.1,"Chrysanthemum stunt viroid isolate YC201110, complete genome
"
12893,540270918,KC427095.1,"Hop stunt viroid isolate HSVd-WA-1, complete genome
"
368621,86141660,DQ357622.1,"Cherry small circular viroid-like RNA 2 isolate cscRNA2.82, complete genome
"
551523,41323945,AY514448.1,"Citrus viroid III isolate 054-4uy, complete genome
"
12893,729066117,JN008868.2,"Hop stunt viroid isolate Maragheh, complete genome
"
12904,401709722,AB742222.1,"Grapevine yellow speckle viroid 1 genomic RNA, complete genome, isolate: Kar-1
"
12896,58644,X13000.1,"Avocado sunblotch viroid (ASBV) genomic RNA
"
12904,584459566,KF916043.1,"Grapevine yellow speckle viroid 1 clone IUT 14, complete genome
"
12892,83755200,DQ315388.1,"Potato spindle tuber viroid, complete genome
"
79450,289600008,GQ131573.1,"Mexican papita viroid isolate Mex8, complete genome
"
1278205,781870437,LC036322.1,"Dahlia latent viroid genomic RNA, complete genome, isolate: DLVd
"
481311,700674135,LC006862.1,"Persimmon viroid genomic RNA, complete genome
"
459949,374923128,JQ072089.1,"Citrus viroid V from Citrus limon, complete genome
"
36453,71372946,DQ097185.1,"Coconut cadang-cadang viroid isolate oil palm variant 270, complete genome
"
12890,459463390,KC290927.1,"Citrus exocortis viroid strain CBO-D, complete genome
"
84412,684192149,KF726093.1,"Citrus viroid-I-LSS isolate AK-4, complete genome
"
46342,608601866,KF007320.1,"Grapevine yellow speckle viroid 2 isolate 6703_YS2_ThS2, complete genome
"
12895,326631983,HQ326096.1,"Apple scar skin viroid isolate AY10ch12, complete genome
"
198473,60645,Y00328.1,"Citrus exocortis viroid (CEV-g) RNA genome
"
648750,240000227,FJ984562.1,"Citrus gummy bark viroid strain cachexia, complete genome
"
12892,556904036,KF419168.1,"Potato spindle tuber viroid clone EL134-1, complete genome
"
12885,363399321,HQ667141.1,"Tomato apical stunt viroid isolate sj10, complete genome
"
12885,603660731,HG916812.1,"Tomato apical stunt viroid, isolate To1-IT, complete genome
"
12897,326635884,JF414238.1,"Chrysanthemum stunt viroid isolate CSVd 37, complete genome
"
12885,557361055,KF437621.1,"Tomato apical stunt viroid clone TASVd_31, complete genome
"
